sepal_length__cm,sepal_width__cm,petal_length__cm,petal_width__cm,target
4.083391255640651,2.698076738685402,1.004197601806088,0.2354096729287541,0
4.870337874143533,3.421068140266037,1.2792256233415693,0.178263015163678,0
5.018386225917209,3.354053773273672,1.4479839926959936,0.2977577188555291,0
6.483311879709307,2.908689972030361,4.535073673127563,1.317258013309942,1
6.228734340120822,2.531997584474009,4.5442990856411285,1.2438707115665242,1
5.968981113797161,2.819867638032568,4.229532190491176,1.4016056618938275,1
5.18955522102406,3.670885470853972,1.5216500832938935,0.152334065799339,0
6.4801672898833145,2.848610158372945,4.727965508284861,1.566705764464499,1
7.1070792572,3.2897165791671146,5.5952890742061845,2.3424979311074208,2
6.145975389876995,2.550607328648263,5.208092271889948,1.9615564947251087,2
6.400332099076059,3.175344231159162,5.696104955700934,2.489435383410312,2
4.536700678806758,3.2957305858726773,1.101174785964012,0.1067125113855058,0
6.468029700428289,2.891284423968292,5.7252383940411065,1.9843631877161532,2
5.940621393596825,2.8291033221898743,5.291793935945703,1.6571808277795808,1
5.65964488507097,2.7902817627254297,3.948155563800328,1.259109619253834,1
6.727823869400983,2.7153650575320856,5.478768474689906,2.0915790908116474,2
5.880901515898448,3.015764639377687,4.352055774056471,1.470659926902652,1
5.72491691792631,2.9027493326564584,3.8404465296799137,1.171784589211734,1
4.386933091791033,3.0048672410817154,1.3592926618554575,0.2143969598837734,0
5.113011657549064,3.53571831272063,1.723922278322859,0.2403394172795448,0
6.90123672591496,3.085281846306801,5.357002708521269,2.349060708200758,2
5.034957640245167,3.021617999796327,1.676639208498863,0.1777354674254049,0
6.0494820385313455,2.9694130621072654,4.352248679100564,1.271070873859551,1
6.355837279742879,3.051775702387482,4.470454350353365,1.4925038937572332,1
6.423604937267462,3.3459372512795107,5.577029522065431,2.3264805913118365,2
5.847132105126139,2.417024114288322,4.727683012687128,1.7149285520684852,2
5.088665312541959,3.5260607162724584,1.7935671616574214,0.2113953681710784,0
